City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
pringsewu,100,ID,1580009055,73,-5.36,104.97,83.5,2.01
cairns,100,AU,1580008953,79,-16.92,145.77,90.0,8.05
sibolga,0,ID,1580009056,63,1.74,98.78,86.38,1.19
sao domingos,100,BR,1580009056,94,-13.4,-46.32,70.93,2.15
castelfranco veneto,75,IT,1580009056,100,45.68,11.93,45.0,3.36
russell,1,US,1580008939,86,32.35,-85.2,46.4,4.41
preobrazheniye,0,RU,1580009056,30,42.9,133.91,25.66,2.08
axim,53,GH,1580008451,92,4.87,-2.24,74.59,1.61
burns lake,0,CA,1580009057,93,54.23,-125.75,23.99,3.83
yangliuqing,100,CN,1580009057,58,39.14,117.0,33.01,4.47
raudeberg,100,NO,1580009057,93,61.99,5.14,45.0,23.04
ust-karsk,0,RU,1580009057,78,52.7,118.81,8.02,1.79
road town,20,VG,1580009057,78,18.42,-64.62,77.0,4.7
malaya vishera,74,RU,1580009057,82,58.85,32.22,29.16,6.64
chiredzi,74,ZW,1580009058,77,-21.05,31.67,67.98,1.88
muriti,100,TZ,1580009058,74,-1.98,32.92,71.42,7.2
suntar,100,RU,1580009058,94,62.14,117.63,7.9,8.12
lompoc,90,US,1580009054,93,34.64,-120.46,57.99,6.93
esperance,95,AU,1580009058,44,-33.87,121.9,80.6,5.82
pisco,90,PE,1580008953,83,-13.7,-76.22,73.4,17.22
kalianget,15,ID,1580009059,68,-7.05,113.93,85.71,6.8
bereda,35,ES,1580009059,100,43.27,-7.54,46.99,6.93
leningradskiy,98,RU,1580008927,96,69.38,178.42,-12.55,4.12
kautokeino,14,NO,1580009059,94,69.01,23.04,2.03,7.56
bergama,75,TR,1580009059,75,39.12,27.18,48.2,4.54
cherskiy,100,RU,1580009060,96,68.75,161.3,-17.93,2.71
aswan,0,EG,1580009060,66,24.09,32.91,50.0,5.82
fort saint james,0,CA,1580009060,95,54.43,-124.25,23.49,3.85
kruisfontein,89,ZA,1580009060,87,-34.0,24.73,64.71,22.73
pervomayskoye,0,RU,1580009060,69,43.92,46.71,34.43,10.2
vanimo,61,PG,1580009061,82,-2.67,141.3,83.39,16.02
sajanan,20,TN,1580009063,87,37.06,9.24,46.4,6.93
umm kaddadah,24,SD,1580009064,32,13.6,26.69,51.08,13.15
dalbandin,0,PK,1580009043,80,28.89,64.41,49.73,4.88
faanui,62,PF,1580009065,72,-16.48,-151.75,83.16,8.79
luebo,14,CD,1580009065,81,-5.35,21.42,70.86,1.83
maceio,75,BR,1580009065,94,-9.67,-35.74,77.0,5.82
zaozerne,18,UA,1580009065,60,45.16,33.28,44.87,8.55
rock sound,18,BS,1580009066,66,24.9,-76.2,73.17,3.2
kahului,20,US,1580008807,57,20.89,-156.47,82.4,14.99
leh,100,IN,1580009066,89,34.17,77.58,-4.67,4.21
bayburt,0,TR,1580009066,56,40.26,40.23,12.69,1.59
bara,0,NG,1580009066,25,10.37,10.73,55.71,7.67
rongcheng,100,CN,1580009066,97,30.63,117.85,39.63,3.62
sorland,100,NO,1580009067,74,67.67,12.69,35.04,29.84
oistins,75,BB,1580008925,83,13.07,-59.53,77.0,1.12
lorengau,85,PG,1580009067,71,-2.02,147.27,84.22,6.04
kazachinskoye,100,RU,1580009067,92,57.7,93.28,17.26,5.17
alihe,86,CN,1580009067,71,50.57,123.72,9.32,3.98
bonavista,53,CA,1580009067,81,48.65,-53.11,19.0,7.0
umm lajj,0,SA,1580009068,32,25.02,37.27,48.34,12.75
dimbokro,76,CI,1580009068,99,6.65,-4.7,73.0,2.28
nome,1,US,1580009068,82,64.5,-165.41,-16.6,8.72
griffith,90,US,1580009068,95,41.53,-87.42,34.0,10.29
nyurba,100,RU,1580009068,97,63.28,118.33,-14.87,7.81
oranjemund,97,NA,1580009068,81,-28.55,16.43,65.26,10.2
hwange,17,ZW,1580009069,83,-18.37,26.5,67.46,3.27
necochea,0,AR,1580009069,86,-38.55,-58.74,54.0,1.01
katsuura,75,JP,1580008959,86,35.13,140.3,43.0,3.36
guane,1,CU,1580009069,85,22.2,-84.09,70.93,15.79
swan hill,0,AU,1580009069,31,-35.34,143.55,93.0,10.0
tucurui,99,BR,1580009070,93,-3.77,-49.67,76.17,3.47
kudahuvadhoo,100,MV,1580009070,79,2.67,72.89,81.36,14.92
nalut,98,LY,1580009070,17,30.33,10.85,58.33,7.72
tacuarembo,55,UY,1580009070,53,-31.73,-55.98,74.52,4.72
christchurch,0,NZ,1580008803,64,-43.53,172.63,82.0,13.87
pacific grove,75,US,1580009070,93,36.62,-121.92,60.01,1.52
kenora,90,CA,1580008930,92,49.82,-94.43,21.2,3.06
pyay,1,MM,1580009071,32,18.82,95.22,70.83,3.24
mount isa,75,AU,1580009071,88,-20.73,139.5,80.6,5.82
somanda,100,TZ,1580009071,94,-3.37,33.95,65.46,2.91
gandai,17,IN,1580009071,38,21.67,81.1,65.35,2.75
abeche,0,TD,1580009072,18,13.83,20.83,59.02,24.96
saint-georges,20,GD,1580009072,83,12.06,-61.75,78.8,5.82
kununurra,66,AU,1580009072,52,-15.77,128.73,91.4,1.12
ambilobe,100,MG,1580009072,89,-13.2,49.05,76.28,3.74
sioux lookout,90,CA,1580009072,92,50.1,-91.92,23.0,8.05
arlit,0,NE,1580009072,11,18.74,7.39,64.99,8.28
san cristobal,40,VE,1580009073,78,7.77,-72.22,78.8,2.24
santa vitoria do palmar,3,BR,1580009073,80,-33.52,-53.37,65.59,5.46
dongtai,100,CN,1580009073,80,32.85,120.31,48.0,5.99
acarau,90,BR,1580009053,95,-2.89,-40.12,77.0,4.54
coquimbo,0,CL,1580008913,93,-29.95,-71.34,62.6,5.82
riyadh,0,SA,1580008835,60,24.69,46.72,42.8,16.11
maumere,7,ID,1580009074,71,-8.62,122.21,84.24,6.87
rampura,0,IN,1580009074,52,30.25,75.23,53.83,2.75
kudowa-zdroj,90,PL,1580009074,100,50.44,16.24,30.99,2.24
shahrud,0,IR,1580009074,49,36.42,54.98,22.91,1.41
tuatapere,98,NZ,1580008956,51,-46.13,167.68,65.64,4.76
paamiut,86,GL,1580008954,64,61.99,-49.67,18.12,23.8
nishihara,75,JP,1580009075,94,26.18,127.76,73.4,14.99
mount gambier,90,AU,1580009075,64,-37.83,140.77,68.0,14.99
svetlogorsk,29,BY,1580009075,96,52.63,29.73,30.49,7.9
la ligua,87,CL,1580009075,93,-32.45,-71.23,62.6,3.36
alacranes,0,CU,1580009075,78,22.77,-81.57,71.6,9.17
grand gaube,75,MU,1580009076,83,-20.01,57.66,78.01,13.87
severo-kurilsk,100,RU,1580009076,92,50.68,156.12,18.86,40.24
det udom,100,TH,1580009076,74,14.91,105.08,78.8,5.82
guerrero negro,0,MX,1580009076,78,27.98,-114.06,62.11,9.37
breves,100,BR,1580009076,99,-1.68,-50.48,75.2,2.24
whitianga,0,NZ,1580008856,60,-36.83,175.7,82.99,8.99
darhan,22,MN,1580009077,83,49.49,105.92,7.25,4.29
tazmalt,40,DZ,1580009077,62,36.39,4.4,51.8,5.82
kolondieba,0,ML,1580009077,11,11.09,-6.89,68.4,3.76
kavaratti,20,IN,1580009077,83,10.57,72.64,78.8,2.28
raghogarh,0,IN,1580009077,34,24.45,77.2,61.03,2.24
comodoro rivadavia,0,AR,1580008885,35,-45.87,-67.5,73.4,28.86
sabha,48,LY,1580009078,24,27.04,14.43,54.81,9.19
camacupa,100,AO,1580009078,97,-12.02,17.48,63.91,2.24
hervey bay,75,AU,1580009078,55,-25.3,152.85,89.01,11.41
luwuk,18,ID,1580009078,72,-0.95,122.79,83.3,5.1
dudinka,75,RU,1580009078,77,69.41,86.18,5.0,11.18
praxedis guerrero,1,MX,1580009079,37,31.37,-106.02,59.0,8.05
jacareacanga,100,BR,1580009079,97,-6.22,-57.75,73.74,0.87
kodinsk,64,RU,1580009079,86,58.69,99.18,17.6,10.2
sitka,90,US,1580009079,70,57.05,-135.33,46.4,24.16
batagay,0,RU,1580009079,92,67.63,134.63,-40.83,1.97
tommot,89,RU,1580009079,95,58.96,126.29,-4.86,2.01
aldan,95,RU,1580009080,91,58.6,125.39,1.04,8.61
solwezi,93,ZM,1580009080,98,-12.17,26.39,62.51,1.92
yarovoye,34,RU,1580009080,88,52.93,78.58,5.54,15.61
lavrentiya,0,RU,1580009080,77,65.58,-171.0,-13.47,3.15
naze,75,JP,1580009080,94,28.37,129.48,71.6,8.05
noumea,75,NC,1580009023,49,-22.28,166.46,91.4,14.99
shenjiamen,100,CN,1580009081,89,29.96,122.3,53.98,24.34
jadu,100,LY,1580009083,29,31.95,12.03,64.2,9.4
la ronge,90,CA,1580009085,92,55.1,-105.28,23.0,5.82
broome,90,US,1580009071,99,42.25,-75.83,35.01,6.93
araouane,100,ML,1580009085,9,18.9,-3.53,75.78,7.18
coihaique,5,CL,1580009085,51,-45.58,-72.07,59.0,5.82
sortavala,99,RU,1580009085,83,61.71,30.69,27.68,10.4
hvide sande,100,DK,1580009085,93,56.0,8.13,44.01,10.29
galesong,20,ID,1580009086,74,-5.32,119.37,86.0,4.7
